cell,arm,rep,seed,divergent_count,max_treedepth_count,ebfmi_min,max_rhat,min_ess_bulk,ess_bulk_per_s_slowest,wall_total_s,n_leapfrog_total,note
ts__latent_renewal,centred,1,101,14,0,0.608909990929141,1.01344909889252,389.560012039454,9.35834943761149,43.449481010437,509988,""
ts__latent_renewal,centred,2,202,8,0,0.605623701225907,1.02073981147699,366.426489161337,8.49664910173299,44.8161218166351,512025,""
ts__latent_renewal,centred,3,303,9,0,0.570593928954756,1.01187388090089,305.561575614834,7.09651111558442,44.7103359699249,478948,""
ts__latent_renewal,ncp,1,101,19,0,0.624592516460504,1.01016008287588,379.377371588762,6.23145762370464,62.769632101059,507878,""
ts__latent_renewal,ncp,2,202,47,0,0.704712036521697,1.0099333036506,624.728907359545,7.65636682385834,83.158744096756,912449,""
ts__latent_renewal,ncp,3,303,25,0,0.716653835061224,1.00489384005482,788.457323488383,11.5946196213109,69.567734003067,732065,""
vig__renewal,centred,1,101,4,0,0.526191309954717,1.00876830454566,309.465191650461,3.54229126346921,89.0304839611054,820931,""
vig__renewal,centred,2,202,10,0,0.58134572332004,1.00605547018918,314.015663236794,2.80797338135378,113.518359899521,811160,""
vig__renewal,centred,3,303,7,0,0.60150971861772,1.00736018950313,344.736080721227,2.98454708997054,117.240056037903,815551,""
vig__renewal,ncp,1,101,57,0,0.698883663606783,1.01308855692062,706.978319301279,6.39192006962867,112.125566005707,1075755,""
vig__renewal,ncp,2,202,4,0,0.631103982711332,1.00643147535015,424.719815352192,3.78818390923938,114.14901804924,815445,""
vig__renewal,ncp,3,303,5,0,0.670514982195961,1.00539643750471,696.686544653089,5.37487979889591,131.14436006546,1154164,""
